episode,score,type,average,average100
146,1.0,test,0.6326530612244898,0.9393939393939394
147,2.0,test,0.6418918918918919,0.9595959595959596
148,4.0,test,0.6644295302013423,1.0
149,1.0,test,0.6666666666666666,1.0101010101010102
150,3.0,test,0.6821192052980133,1.0404040404040404
151,1.0,test,0.6842105263157895,1.0505050505050506
152,4.0,test,0.7058823529411765,1.0909090909090908
153,3.0,test,0.7207792207792207,1.121212121212121
154,1.0,test,0.7225806451612903,1.1313131313131313
155,3.0,test,0.7371794871794872,1.1515151515151516
156,3.0,test,0.7515923566878981,1.1818181818181819
157,2.0,test,0.759493670886076,1.202020202020202
158,4.0,test,0.779874213836478,1.2424242424242424
159,2.0,test,0.7875,1.2626262626262625
160,1.0,test,0.7888198757763976,1.2727272727272727
161,2.0,test,0.7962962962962963,1.292929292929293
162,2.0,test,0.803680981595092,1.3131313131313131
