episode,score,type
640,1.0,test
641,1.0,test
642,3.0,test
643,1.0,test
644,2.0,test
645,1.0,test
646,1.0,test
647,1.0,test
648,1.0,test
649,0,test
650,1.0,test
651,2.0,test
652,1.0,test
653,1.0,test
654,2.0,test
655,1.0,test
656,1.0,test
657,2.0,test
658,1.0,test
659,1.0,test
660,0,test
661,1.0,test
662,1.0,test
663,0,test
664,2.0,test
665,1.0,test
666,1.0,test
667,4.0,test
668,1.0,test
669,6.0,test
670,1.0,test
671,1.0,test
672,1.0,test
673,3.0,test
674,0,test
675,1.0,test
676,2.0,test
677,3.0,test
678,0,test
679,4.0,test
680,0,test
681,2.0,test
682,2.0,test
683,3.0,test
684,1.0,test
685,0,test
686,1.0,test
687,2.0,test
688,1.0,test
689,0,test
690,2.0,test
691,0,test
692,2.0,test
693,1.0,test
694,1.0,test
695,2.0,test
696,1.0,test
697,1.0,test
698,2.0,test
699,1.0,test
700,1.0,test
701,6.0,test
702,2.0,test
703,1.0,test
704,2.0,test
705,1.0,test
706,3.0,test
707,1.0,test
708,4.0,test
709,1.0,test
710,3.0,test
711,2.0,test
712,1.0,test
713,1.0,test
714,1.0,test
715,2.0,test
716,1.0,test
717,3.0,test
718,0,test
719,1.0,test
720,3.0,test
721,3.0,test
722,1.0,test
723,1.0,test
724,1.0,test
725,2.0,test
726,2.0,test
727,1.0,test
728,2.0,test
729,0,test
730,0,test
731,0,test
732,1.0,test
733,1.0,test
734,0,test
735,2.0,test
736,0,test
737,2.0,test
738,0,test
739,1.0,test
740,2.0,test
741,1.0,test
742,2.0,test
743,0,test
744,4.0,test
745,6.0,test
746,1.0,test
747,2.0,test
748,1.0,test
749,0,test
750,1.0,test
751,2.0,test
752,3.0,test
753,1.0,test
754,1.0,test
755,2.0,test
756,3.0,test
757,5.0,test
758,1.0,test
759,3.0,test
760,1.0,test
761,1.0,test
762,2.0,test
763,1.0,test
764,2.0,test
765,2.0,test
766,2.0,test
767,3.0,test
768,3.0,test
769,0,test
770,1.0,test
771,0,test
772,1.0,test
773,1.0,test
774,2.0,test
775,1.0,test
776,1.0,test
777,3.0,test
778,1.0,test
779,3.0,test
780,0,test
781,3.0,test
782,0,test
783,4.0,test
784,4.0,test
785,1.0,test
786,1.0,test
787,1.0,test
788,1.0,test
789,1.0,test
790,3.0,test
791,4.0,test
792,2.0,test
793,2.0,test
794,1.0,test
795,1.0,test
796,2.0,test
797,2.0,test
798,1.0,test
799,1.0,train
800,4.0,train
801,1.0,train
802,1.0,train
803,1.0,train
804,2.0,train
805,1.0,train
806,1.0,train
807,1.0,train
808,1.0,train
809,1.0,train
810,1.0,train
811,0,train
812,3.0,train
813,1.0,train
814,2.0,train
815,0,train
816,0,train
817,2.0,train
818,2.0,train
819,1.0,train
820,0,train
821,1.0,train
822,3.0,train
823,2.0,train
824,1.0,train
825,2.0,train
826,3.0,train
827,1.0,train
828,0,train
829,3.0,train
830,1.0,train
831,2.0,train
832,0,train
833,2.0,train
834,4.0,train
835,0,train
836,0,train
837,2.0,train
838,2.0,train
839,3.0,train
840,4.0,train
841,1.0,train
842,6.0,train
843,2.0,train
844,1.0,train
845,1.0,train
846,2.0,train
847,0,train
848,0,train
849,2.0,train
850,1.0,train
851,1.0,train
852,1.0,train
853,0,train
854,1.0,train
855,1.0,train
856,0,train
857,0,train
858,0,train
859,1.0,train
860,0,train
861,4.0,train
862,3.0,train
863,1.0,train
864,0,train
865,2.0,train
866,1.0,train
867,2.0,train
868,1.0,train
869,3.0,train
870,2.0,train
871,1.0,train
872,0,train
873,2.0,train
874,1.0,train
875,0,train
876,1.0,train
877,1.0,train
878,1.0,train
879,1.0,train
880,1.0,train
881,4.0,train
882,0,train
883,4.0,train
884,0,train
885,0,train
886,0,train
887,0,train
888,1.0,train
889,1.0,train
890,1.0,train
891,1.0,train
892,1.0,train
893,1.0,train
894,1.0,train
895,1.0,train
896,2.0,train
897,1.0,train
898,2.0,train
899,1.0,train
900,1.0,train
901,2.0,train
902,1.0,train
903,1.0,train
904,3.0,train
905,2.0,train
906,1.0,train
907,0,train
908,1.0,train
909,1.0,train
910,5.0,train
911,1.0,train
912,1.0,train
913,2.0,train
914,1.0,train
915,1.0,train
916,1.0,train
917,2.0,train
918,1.0,train
919,2.0,train
920,2.0,train
921,3.0,train
922,0,train
923,1.0,train
924,2.0,train
925,1.0,train
926,2.0,train
927,1.0,train
928,3.0,train
929,1.0,train
930,0,train
931,1.0,train
932,0,train
933,1.0,train
934,1.0,train
935,1.0,train
936,1.0,train
937,2.0,train
938,2.0,train
939,1.0,train
940,1.0,train
941,3.0,train
942,2.0,train
943,2.0,train
944,0,train
945,0,train
946,2.0,train
947,2.0,train
948,2.0,train
949,0,train
950,2.0,train
951,1.0,train
952,1.0,train
953,1.0,train
954,1.0,train
955,0,train
956,0,train
957,0,train
958,1.0,train
959,4.0,train
960,2.0,train
961,1.0,train
962,1.0,train
963,1.0,train
964,4.0,train
965,1.0,train
966,2.0,train
967,2.0,train
968,2.0,train
969,3.0,train
970,1.0,train
971,0,train
972,1.0,train
973,3.0,train
974,1.0,train
975,1.0,train
976,0,train
977,1.0,train
978,1.0,train
979,1.0,train
980,1.0,train
981,1.0,train
982,0,train
983,2.0,train
984,0,train
985,1.0,train
986,8.0,train
987,2.0,train
988,0,train
989,0,train
990,2.0,train
991,1.0,train
992,1.0,train
993,2.0,train
994,4.0,train
995,0,train
996,5.0,train
997,2.0,train
998,1.0,train
999,1.0,test
1000,2.0,test
1001,2.0,test
1002,1.0,test
1003,2.0,test
1004,1.0,test
1005,1.0,test
1006,1.0,test
1007,2.0,test
1008,1.0,test
1009,2.0,test
1010,0,test
1011,3.0,test
1012,1.0,test
1013,1.0,test
1014,0,test
1015,1.0,test
1016,2.0,test
1017,2.0,test
1018,2.0,test
1019,1.0,test
1020,1.0,test
1021,2.0,test
1022,1.0,test
1023,0,test
1024,1.0,test
1025,1.0,test
1026,0,test
1027,2.0,test
1028,4.0,test
1029,4.0,test
1030,2.0,test
1031,0,test
1032,2.0,test
1033,0,test
1034,0,test
1035,2.0,test
1036,0,test
1037,1.0,test
1038,0,test
